personId,firstName,lastName,height,bodyWeight,draftYear
2632,Kirk,Penney,77.0,220.0,-1.0
2637,Alex,Scales,76.0,195.0,-1.0
2639,Britton,Johnsen,82.0,210.0,-1.0
2648,Ronald,Dupree,79.0,2648.0,-22.0
2657,Yuta,Tabuse,69.0,165.0,-1.0
2667,Desmond,Penigar,79.0,245.0,-1.0
2668,Josh,Davis,80.0,235.0,-1.0
2669,Linton,Johnson,80.0,205.0,-1.0
2673,Hiram,Fuller,81.0,240.0,-1.0
2679,Matt,Carroll,78.0,2679.0,-22.0
2682,Alex,Garcia,75.0,2682.0,-22.0
2684,Melvin,Sanders,77.0,210.0,-1.0
2688,Brandin,Knight,72.0,180.0,-1.0
2693,Keith,McLeod,74.0,190.0,-1.0
2694,Josh,Powell,81.0,240.0,-1.0
2696,Lynn,Greer,74.0,175.0,-1.0
2724,Desmond,Ferguson,79.0,210.0,-1.0
2738,Andre,Iguodala,78.0,2738.0,2004.0
2748,Dorell,Wright,81.0,2748.0,2004.0
2752,Sergei,Monia,80.0,2752.0,2004.0
2761,Jackson,Vroman,82.0,2761.0,2004.0
2775,Seung-Jin,Ha,87.0,2775.0,2004.0
2788,DJ,Mbenga,84.0,255.0,-1.0
2798,Horace,Jenkins,73.0,180.0,-1.0
2800,Tony,Bobbitt,76.0,190.0,-1.0
2804,Andres,Nocioni,,,-1.0
2809,Gerald,Fitch,75.0,188.0,-1.0
2810,Andre,Brown,81.0,2810.0,-22.0
2823,John,Edwards,84.0,275.0,-1.0
2824,Desmon,Farmer,77.0,220.0,-1.0
2825,Ibrahim,Kutluay,78.0,200.0,-1.0
2839,James,Thomas,81.0,245.0,-1.0
2845,Erik,Daniels,,2845.0,-22.0
2852,Awvee,Storey,78.0,225.0,-1.0
2853,Earl,Barron,84.0,250.0,-1.0
2857,Andre,Barrett,70.0,2857.0,-22.0
2863,Damien,Wilkins,78.0,217.0,-1.0
2866,Jackie,Butler,82.0,260.0,-1.0
2867,Kasib,Powell,79.0,215.0,-1.0
2873,Billy,Thomas,77.0,220.0,-1.0
2876,Jared,Reiner,83.0,2876.0,-22.0
76002,Zaid,Abdul-Aziz,81.0,76002.0,1968.0
76007,John,Abramovic,75.0,195.0,-1.0
76010,Charles,Acton,78.0,210.0,-1.0
76017,Danny,Ainge,77.0,76017.0,1981.0
76021,Chuck,Aleksinas,83.0,76021.0,1982.0
76022,Gary,Alexander,79.0,76022.0,-22.0
76025,Randy,Allen,80.0,76025.0,-22.0
76034,Bob,Anderegg,75.0,76034.0,1959.0
76035,Cliff,Anderson,74.0,76035.0,1967.0
76048,Wally,Anderzunas,79.0,76048.0,1969.0
76053,Stacey,Arceneaux,76.0,76053.0,-22.0
76060,Paul,Armstrong,71.0,76060.0,-22.0
76061,Bob,Armstrong,80.0,76061.0,-22.0
76063,Jay,Arnette,74.0,76063.0,1960.0
76064,Bob,Arnzen,77.0,76064.0,1969.0
76068,Don,Asmonga,74.0,185.0,-1.0
76070,Alvin,Attles,73.0,76070.0,1960.0
